"","Component","Percent","ID"
"1","Leaf",3.48,"PCH4"
"2","Date",49.23,"PCH4"
"3","Plant",12.28,"PCH4"
"4","Residual",35,"PCH4"
"5","Leaf",21.14,"PCH5"
"6","Date",4.07,"PCH5"
"7","Plant",41.46,"PCH5"
"8","Residual",33.33,"PCH5"
"9","Leaf",26.84,"PCL1"
"10","Date",25.93,"PCL1"
"11","Plant",20.12,"PCL1"
"12","Residual",27.12,"PCL1"
"13","Leaf",18.91,"PCL2"
"14","Date",25.26,"PCL2"
"15","Plant",17.65,"PCL2"
"16","Residual",38.18,"PCL2"
"17","Leaf",7.86,"PCM1"
"18","Date",45.2,"PCM1"
"19","Plant",10.56,"PCM1"
"20","Residual",36.39,"PCM1"
"21","Leaf",34.56,"PCM2"
"22","Date",1,"PCM2"
"23","Plant",34.48,"PCM2"
"24","Residual",29.96,"PCM2"
"25","Leaf",8.76,"GFP_control"
"26","Date",24.52,"GFP_control"
"27","Plant",25.85,"GFP_control"
"28","Residual",40.88,"GFP_control"
"29","Leaf",3.21,"PC4_Bulk"
"30","Date",41.83,"PC4_Bulk"
"31","Plant",13.41,"PC4_Bulk"
"32","Residual",41.55,"PC4_Bulk"
