Date,n_plants,component,sd_log10,mult,Date_chrono,variance
2022_05_30,8,Between-plant mean,0.114048971,1.300316195,2022_05_30,0.013007168
2022_05_30,8,Within-plant Top–Bottom,0.118265073,1.31300105,2022_05_30,0.013986628
2022_05_30,8,Residual (disk),0.090800596,1.23253879,2022_05_30,0.008244748
2022_06_06,5,Between-plant mean,0.157116348,1.435874053,2022_06_06,0.024685547
2022_06_06,5,Within-plant Top–Bottom,0.108753592,1.284557626,2022_06_06,0.011827344
2022_06_06,5,Residual (disk),0.115096479,1.303456311,2022_06_06,0.0132472
2022_06_13,5,Between-plant mean,0.097408225,1.251434792,2022_06_13,0.009488362
2022_06_13,5,Within-plant Top–Bottom,0.206489816,1.608754654,2022_06_13,0.042638044
2022_06_13,5,Residual (disk),0.078001831,1.196745576,2022_06_13,0.006084286
2022_07_25,8,Between-plant mean,0.083366906,1.211621319,2022_07_25,0.006950041
2022_07_25,8,Within-plant Top–Bottom,0.108394203,1.283495063,2022_07_25,0.011749303
2022_07_25,8,Residual (disk),0.115749071,1.30541642,2022_07_25,0.013397847
2022_08_08,8,Between-plant mean,0.056860268,1.139882976,2022_08_08,0.00323309
2022_08_08,8,Within-plant Top–Bottom,0.194465944,1.564825604,2022_08_08,0.037817003
2022_08_08,8,Residual (disk),0.231499869,1.704118805,2022_08_08,0.053592189
2022_09_05,8,Between-plant mean,0.03670925,1.088201323,2022_09_05,0.001347569
2022_09_05,8,Within-plant Top–Bottom,0.111352197,1.292266829,2022_09_05,0.012399312
2022_09_05,8,Residual (disk),0.0760932,1.191497678,2022_09_05,0.005790175
2022_09_12,8,Between-plant mean,0.045759982,1.111117486,2022_09_12,0.002093976
2022_09_12,8,Within-plant Top–Bottom,0.126788168,1.339023403,2022_09_12,0.016075239
2022_09_12,8,Residual (disk),0.097946387,1.252986487,2022_09_12,0.009593495
2022_09_19,8,Between-plant mean,0.019745763,1.046515736,2022_09_19,0.000389895
2022_09_19,8,Within-plant Top–Bottom,0.148424131,1.407421336,2022_09_19,0.022029723
2022_09_19,8,Residual (disk),0.100895972,1.261525322,2022_09_19,0.010179997
2022_10_17,8,Between-plant mean,0.069817866,1.174404932,2022_10_17,0.004874534
2022_10_17,8,Within-plant Top–Bottom,0.135561828,1.366349583,2022_10_17,0.018377009
2022_10_17,8,Residual (disk),0.064851188,1.16105071,2022_10_17,0.004205677
2022_11_07,8,Between-plant mean,0.055925897,1.137433192,2022_11_07,0.003127706
2022_11_07,8,Within-plant Top–Bottom,0.084124874,1.21373779,2022_11_07,0.007076994
2022_11_07,8,Residual (disk),0.105247599,1.274229334,2022_11_07,0.011077057
2022_12_05,8,Between-plant mean,0.091856603,1.23553941,2022_12_05,0.008437635
2022_12_05,8,Within-plant Top–Bottom,0.137624649,1.372854934,2022_12_05,0.018940544
2022_12_05,8,Residual (disk),0.107206881,1.279990897,2022_12_05,0.011493315
2023_01_09,8,Between-plant mean,0.059501817,1.146837319,2023_01_09,0.003540466
2023_01_09,8,Within-plant Top–Bottom,0.007240902,1.01681256,2023_01_09,5.24306626634032e-05
2023_01_09,8,Residual (disk),0.095548058,1.24608612,2023_01_09,0.009129431
2023_02_06,8,Between-plant mean,0.045279502,1.109888885,2023_02_06,0.002050233
2023_02_06,8,Within-plant Top–Bottom,0.130057537,1.34914161,2023_02_06,0.016914963
2023_02_06,8,Residual (disk),0.075962979,1.191140465,2023_02_06,0.005770374
2023_05_30,8,Between-plant mean,0.063948369,1.158639603,2023_05_30,0.004089394
2023_05_30,8,Within-plant Top–Bottom,0.020030214,1.047201399,2023_05_30,0.000401209
2023_05_30,8,Residual (disk),0.082491242,1.209180798,2023_05_30,0.006804805
2023_07_03,8,Between-plant mean,0.044434221,1.107730773,2023_07_03,0.0019744
2023_07_03,8,Within-plant Top–Bottom,0.075721071,1.190477169,2023_07_03,0.005733681
2023_07_03,8,Residual (disk),0.073454077,1.184279133,2023_07_03,0.005395501
